Ville,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneVille,nbVendeurs,latitudeVille,longitudeVille,Etat,nbVendeursParCommande
franco da rocha,109,92.86422018348624,16.248899082568805,4.155963302752293,2,-23.316172347791152,-46.72582117346966,São Paulo,0.01834862385321101
ribeirao pires,109,94.85635514018692,15.242990654205608,4.146788990825688,6,-23.7041588584869,-46.40744088300768,São Paulo,0.05504587155963303
nilopolis,107,128.20728971962617,22.425233644859812,3.878504672897196,2,-22.809790478260414,-43.41822273123849,Rio de Janeiro,0.018691588785046728
sao leopoldo,105,106.3910576923077,20.774134615384618,4.123809523809523,2,-29.76480641007164,-51.139326336441606,Rio Grande do Sul,0.01904761904761905
chapeco,103,148.7597087378641,23.57766990291262,3.9029126213592233,1,-27.09668226891065,-52.62097613371527,Santa Catarina,0.009708737864077669
chapeco,103,148.7597087378641,23.57766990291262,3.9029126213592233,2,-27.09668226891065,-52.62097613371527,Santa Catarina,0.019417475728155338
caieiras,102,136.24519999999995,15.796,4.049019607843137,1,-23.365135261940797,-46.73566482431409,São Paulo,0.00980392156862745
pindamonhangaba,101,129.40752475247524,17.52653465346535,4.405940594059406,"",-22.929384305325527,-45.44263294610262,São Paulo,""
ribeirao das neves,101,128.02464646464645,22.35525252525253,4.099009900990099,2,-19.78076423605794,-44.06121321867438,Minas Gerais,0.019801980198019802
botucatu,101,170.09405940594056,18.55029702970297,4.138613861386139,4,-22.882112535459964,-48.44701223244297,São Paulo,0.039603960396039604
cajamar,101,99.73000000000002,17.423737373737374,4.0,2,-23.369586747930345,-46.84232153418722,São Paulo,0.019801980198019802
francisco morato,100,95.56438775510206,14.448979591836732,4.22,1,-23.280906795824254,-46.74128376881102,São Paulo,0.01
patos de minas,100,167.91969999999995,25.5501,4.00990099009901,2,-18.588562538569025,-46.51218847404725,Minas Gerais,0.02
santa luzia,100,123.41285714285713,23.01265306122449,3.9,"",-19.784520375060115,-43.902982542564395,Minas Gerais,""
santa luzia,100,123.41285714285713,23.01265306122449,3.9,"",-3.989193441879884,-45.671190003174516,Maranhão,""
santa luzia,100,123.41285714285713,23.01265306122449,3.9,"",-6.872211982859129,-36.917456203062436,Paraïba,""
santa luzia,100,123.41285714285713,23.01265306122449,3.9,"",-15.432317782769118,-39.329811266604956,Bahia,""
santa luzia,100,123.41285714285713,23.01265306122449,3.9,"",-29.974089269182752,-50.19950034276832,Rio Grande do Sul,""
balneario camboriu,100,169.58379999999997,24.5052,4.2,3,-26.9901242471923,-48.633114373691896,Santa Catarina,0.03
