nbPaiements,montant,nbPaiementPrediction,id
4.0,195.91,3.6941992161307415,705
4.0,77.08,3.0693790493981066,706
6.0,136.93,3.384076406790585,707
3.0,243.66,3.9452735488874806,708
4.0,126.0,3.326605360570037,709
3.0,31.68,2.8306612544838456,710
4.0,99.43,3.186897611431889,711
1.0,64.0,3.000603085576994,712
8.0,561.78,5.617980705674368,713
1.0,41.85,2.884136143785124,714
1.0,50.24,2.9282516129333764,715
1.0,99.74,3.1885276228068546,716
1.0,25.85,2.8000065244320806,717
2.0,562.53,5.621924281581542,718
1.0,158.45,3.4972307448204285,719
9.0,443.17,4.994317321207838,720
2.0,266.77,4.066788267840533,721
6.0,584.08,5.735236362647672,722
7.0,140.08,3.4006394256007155,723
2.0,168.88,3.5520727404361936,724
5.0,241.99,3.9364925198675067,725
1.0,31.09,2.827558974770202,726
1.0,32.04,2.8325541709192894,727
4.0,46.1,2.9064830739257763,728
1.0,59.68,2.977888088351672,729
6.0,63.46,2.9977637109238287,730
1.0,215.83,3.798940592225281,731
4.0,265.57,4.060478546389055,732
5.0,82.98,3.1004018465345418,733
2.0,149.08,3.4479623364868024,734
2.0,268.79,4.077409632283855,735
4.0,40.78,2.878509975490889,736
10.0,427.46,4.911712551205568,737
1.0,35.06,2.8484336365721763,738
2.0,45.43,2.9029601461153676,739
1.0,56.69,2.962166365735072,740
4.0,73.13,3.0486095496203243,741
3.0,155.82,3.483401938639272,742
1.0,84.22,3.1069218920344026,743
6.0,609.5,5.86889729539482,744
2.0,137.53,3.387231267516324,745
2.0,124.07,3.316457225235576,746
2.0,56.01,2.9585908569125676,747
