Ville,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneVille,Etat,nbVendeurs,latitudeVille,longitudeVille
pirassununga,69,123.91782608695655,19.071014492753626,4.405797101449275,São Paulo,1,-21.996671736530615,-47.419981543807445
campina grande,68,257.3607352941176,77.68764705882353,4.102941176470588,Paraïba,1,-7.230652881654887,-35.8890788494615
sao joao del rei,67,123.85029850746268,23.761492537313437,4.343283582089552,Minas Gerais,2,-21.130506152611296,-44.249390890230515
amparo,67,178.05424242424246,18.9430303030303,4.3283582089552235,São Paulo,5,-22.66181829147851,-46.74996861485433
rio verde,67,147.8446153846154,36.97415384615384,3.7205882352941178,Goiás,1,-17.807511417702145,-50.9246700831769
guarapari,67,157.37925373134328,22.040746268656715,4.044776119402985,"","",-20.66140344988511,-40.496397340898085
rondonopolis,65,188.35446153846152,28.65523076923077,4.08955223880597,"","",-16.462661192463678,-54.62797780134871
colatina,65,106.5463076923077,25.034,3.923076923076923,Espírito Santo,1,-19.529844275091957,-40.63956105804315
petrolina,65,220.19999999999993,40.55338461538462,4.230769230769231,"","",-9.384439018067077,-40.50488990286944
linhares,65,187.86784615384616,32.544615384615376,4.134328358208955,"","",-19.3834438458518,-40.0598376945347
bage,65,149.77206349206352,21.527936507936513,4.2615384615384615,Rio Grande do Sul,1,-31.32508106375457,-54.10372230962072
manhuacu,65,132.96875,24.321875,4.3076923076923075,"","",-20.251431112193043,-42.041233696312275
guarapuava,65,134.77265625,23.3153125,4.246153846153846,Paraná,1,-25.390422542951157,-51.47156645197742
avare,64,133.0630158730159,21.119047619047624,4.109375,São Paulo,1,-23.101661110048383,-48.923743286031545
muriae,64,172.1159375,25.01046875,4.40625,Minas Gerais,1,-21.130908661434777,-42.371277616616744
caruaru,64,148.99515624999998,47.5553125,4.328125,Pernambuco,2,-8.280838827967244,-35.971427841800576
dourados,64,139.1828125,26.389687500000008,4.159420289855072,"","",-22.227621892638428,-54.805985543544246
